,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling,,,,
2021-07-01 9:00,40683000,39750000,40492700,41868709.65,41410039.77,,,,,,
2021-07-01 13:00,40078000,39055000,40446200,41951253.89,41449569.26,,,,,,
2021-07-01 17:00,39440000,39440000,40430750,41971851.16,41458150.77,,,,,,
2021-07-01 21:00,39579000,39288000,40377600,42001386.01,41460124.01,,,,,,
2021-07-02 1:00,39500000,39150000,40361900,42028389.65,41472893.1,,,,,,
2021-07-02 5:00,39493000,39320000,40304000,42032806.71,41456537.8,,,,,,
2021-07-02 9:00,39834000,38391000,40226650,42151699.42,41510016.28,,,,,,
2021-07-02 13:00,39150000,39070000,40182200,42173196.01,41509530.67,,,,,,
2021-07-02 17:00,39400000,38808000,40116050,42199953.07,41505318.71,,,,,,
2021-07-02 21:00,39543000,39439000,40066200,42165519.45,41465746.3,,,,,,
2021-07-03 1:00,39512000,38985000,39952050,42024322.64,41333565.09,,,,,,
2021-07-03 5:00,39539000,39442000,39838900,41748942.7,41112261.8,,,,,,
2021-07-03 9:00,39515000,39119000,39691450,41310012.65,40770491.76,,,,,,
2021-07-03 13:00,40450000,40201000,39625100,41020013.15,40555042.1,buy,,39691450,,,
2021-07-03 17:00,40500000,40193000,39600400,40932208.81,40488272.54,,,,,,
2021-07-03 21:00,40446000,40210000,39577100,40844420.74,40421980.49,,,,,,
2021-07-04 1:00,40535000,40380000,39580150,40855258.3,40430222.2,,sell,40421980.49,1.018405236,,
2021-07-04 5:00,40578000,40299000,39583300,40865521.61,40438114.41,,sell,,,,
2021-07-04 9:00,40600000,40489000,39585150,40872744.46,40443546.3,,sell,,,,
2021-07-04 13:00,41500000,41397000,39621300,41068336.33,40585990.89,,sell,,,,
2021-07-04 17:00,41486000,41219000,39694750,41308785.53,40770773.69,,sell,,,,
2021-07-04 21:00,41252000,41205000,39802250,41519942.81,40947378.54,,sell,,,,
2021-07-05 1:00,41390000,41271000,39893800,41721833.12,41112488.75,,sell,,,,
2021-07-05 5:00,41643000,40948000,39976800,41839433.29,41218555.53,,sell,,,,
2021-07-05 9:00,40948000,40075000,40023050,41844728.06,41237502.04,,,,,,
2021-07-05 13:00,40200000,40012000,40057650,41849140.21,41251976.81,,,,,,
2021-07-05 17:00,40283000,39076000,40091900,41771955.12,41211936.75,,,,,,
2021-07-05 21:00,39522000,39297000,40103250,41757099.72,41205816.48,,,,,,
2021-07-06 1:00,40000000,39820000,40153850,41699209.13,41184089.42,,,,,,
2021-07-06 5:00,39960000,39506000,40157200,41696312.2,41183274.8,,,,,,
2021-07-06 9:00,40022000,39587000,40187300,41651617.35,41163511.57,,,,,,
2021-07-06 13:00,40430000,40416000,40236000,41660187.16,41185458.1,buy,,40187300,,,
2021-07-06 17:00,40650000,39722000,40266150,41614271.07,41164897.38,,,,,,
2021-07-06 21:00,40083000,39751000,40243650,41611229.85,41155369.9,,,,,,
2021-07-07 1:00,39857000,39690000,40218500,41608321.42,41145047.61,,,,,,
2021-07-07 5:00,39961000,39814000,40198700,41600264.85,41133076.57,,,,,,
2021-07-07 9:00,40200000,40088000,40184100,41583795.14,41117230.09,buy,,,,,
2021-07-07 13:00,40580000,40349000,40186600,41587337.46,41120424.97,,,,,,
2021-07-07 17:00,40700000,40533000,40188800,41591673.83,41124049.22,,,,,,
2021-07-07 21:00,40727000,40278000,40132850,41417075.14,40989000.1,,,,,,
2021-07-08 1:00,40547000,40412000,40092500,41280111.76,40884241.17,,,,,,
