,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling
2021-07-14 12:00:00,38636000.0,37885000.0,38637050.0,39212757.70178515,39016693.91327622,,
2021-07-14 13:00:00,38061000.0,37883000.0,38576800.0,39203734.26164236,39007715.59033415,,
2021-07-14 14:00:00,37987000.0,37770000.0,38510000.0,39182559.91711167,38986647.117526114,,
2021-07-14 15:00:00,37820000.0,37719000.0,38443650.0,39154311.448748164,38958539.89150442,,
2021-07-14 16:00:00,37920000.0,37855000.0,38387550.0,39098078.483817354,38902588.09139827,,
2021-07-14 17:00:00,37880000.0,37704000.0,38354650.0,39128292.178951375,38932650.71805662,,
2021-07-14 18:00:00,38504000.0,38390000.0,38346600.0,39114972.2781925,38919397.416801535,buy,
2021-07-14 19:00:00,38882000.0,38519000.0,38351100.0,39122552.19178542,38926939.43082649,,
2021-07-14 20:00:00,38775000.0,38589000.0,38347800.0,39114327.535811916,38918755.89813285,,
2021-07-14 21:00:00,38700000.0,38323000.0,38328200.0,39074986.40643902,38879611.47440682,,
2021-07-14 22:00:00,38890000.0,38834000.0,38334900.0,39097958.63746538,38902468.84427805,,sell
2021-07-14 23:00:00,38975000.0,38800000.0,38352000.0,39141542.70575474,38945834.99222597,,sell
2021-07-15 00:00:00,38870000.0,38730000.0,38369450.0,39176914.771921806,38981030.1980622,,
2021-07-15 01:00:00,38840000.0,38793000.0,38376300.0,39196228.39225206,39000247.250290796,,
2021-07-15 02:00:00,38869000.0,38797000.0,38379900.0,39206876.71322143,39010842.32965533,,
2021-07-15 03:00:00,38973000.0,38655000.0,38377700.0,39201329.732854575,39005323.0841903,,
2021-07-15 04:00:00,38734000.0,38658000.0,38374950.0,39194221.68554567,38998250.57711794,,
2021-07-15 05:00:00,38808000.0,38777000.0,38388700.0,39225982.59707724,39029852.68409186,,
2021-07-15 06:00:00,38900000.0,38788000.0,38405250.0,39261096.487710446,39064791.0052719,,
2021-07-15 07:00:00,38969000.0,38869000.0,38416900.0,39292096.43509328,39095635.952917814,,
2021-07-15 08:00:00,38898000.0,38592000.0,38452250.0,39293439.8527806,39096972.6535167,,
2021-07-15 09:00:00,38900000.0,38844000.0,38500300.0,39313914.185044274,39117344.61411905,,
2021-07-15 10:00:00,39045000.0,38609000.0,38542250.0,39280331.403298266,39083929.74628177,,
2021-07-15 11:00:00,38928000.0,38748000.0,38593700.0,39226035.720292546,39029905.54169108,,
2021-07-15 12:00:00,38799000.0,38500000.0,38625950.0,39157399.051873125,38961612.05661376,,
2021-07-15 13:00:00,38510000.0,38391000.0,38660300.0,38992182.097010046,38797221.186524995,,
2021-07-15 14:00:00,38397000.0,38372000.0,38659400.0,38994450.91521957,38799478.66064347,,
2021-07-15 15:00:00,38401000.0,38280000.0,38647450.0,39018680.37250969,38823586.97064714,,
2021-07-15 16:00:00,38401000.0,38290000.0,38632500.0,39036295.414587766,38841113.93751483,,
2021-07-15 17:00:00,38350000.0,38152000.0,38623950.0,39061194.710479274,38865888.736926876,,
2021-07-15 18:00:00,38350000.0,38253000.0,38594900.0,39050213.379645504,38854962.31274728,,
2021-07-15 19:00:00,38321000.0,37697000.0,38539750.0,39135886.994146034,38940207.559175305,,
2021-07-15 20:00:00,37904000.0,37814000.0,38493950.0,39164631.81333389,38968808.65426722,,
2021-07-15 21:00:00,38078000.0,37670000.0,38437800.0,39186556.6114285,38990623.82837135,,
2021-07-15 22:00:00,37871000.0,37813000.0,38388600.0,39166716.59253543,38970883.00957275,,
2021-07-15 23:00:00,37880000.0,37653000.0,38338500.0,39171490.68043058,38975633.22702843,,
2021-07-16 00:00:00,37743000.0,37538000.0,38282500.0,39173613.909665875,38977745.840117544,,
2021-07-16 01:00:00,37597000.0,37485000.0,38217900.0,39144684.11725709,38948960.6966708,,
2021-07-16 02:00:00,37484000.0,37182000.0,38137600.0,39132219.71574435,38936558.617165625,,
2021-07-16 03:00:00,37353000.0,37345000.0,38061400.0,39053597.433663495,38858329.446495175,,
2021-07-16 04:00:00,37597000.0,37385000.0,38001050.0,39004129.77853472,38809109.12964205,,
2021-07-16 05:00:00,37650000.0,37641000.0,37940900.0,38872905.62455949,38678541.096436694,,
2021-07-16 06:00:00,37665000.0,37544000.0,37887650.0,38779776.32454567,38585877.442922935,,
2021-07-16 07:00:00,37678000.0,37636000.0,37832050.0,38632283.248891585,38439121.83264713,,
2021-07-16 08:00:00,37749000.0,37606000.0,37787350.0,38528153.624806404,38335512.856682375,,
2021-07-16 09:00:00,37669000.0,37361000.0,37735850.0,38442374.26486435,38250162.393540025,,
2021-07-16 10:00:00,37708000.0,37647000.0,37699600.0,38339997.04789089,38148297.06265143,,
2021-07-16 11:00:00,37765000.0,37604000.0,37665800.0,38245716.727234446,38054488.14359827,,
2021-07-16 12:00:00,37700000.0,37573000.0,37629950.0,38130628.05602949,37939974.91574934,,
2021-07-16 13:00:00,37679000.0,37570000.0,37600850.0,38037305.71307257,37847119.184507206,,
2021-07-16 14:00:00,37600000.0,37375000.0,37556950.0,37878789.76071788,37689395.811914295,,
2021-07-16 15:00:00,37390000.0,37299000.0,37537050.0,37871403.40584477,37682046.388815545,,
